title,url,domain,seendate,language,sourcecountry,event_id,phase
"Trump warns US may launch land operations inside Venezuela ‘very soon,’ says regime sent ‘killers’ to America",https://www.foxnews.com/politics/trump-warns-us-may-launch-land-operations-inside-venezuela-very-soon-says-regime-sent-killers-america,www.foxnews.com,2025-12-04,en,,REC1,post
"Hidden in hangars, the Navy’s FA-XX could decide the China fight — if Trump moves now",https://www.foxnews.com/opinion/hidden-hangars-navys-fa-xx-could-decide-china-fight-trump-moves-now,www.foxnews.com,2025-12-03,en,,REC1,post
"Spec ops chief ordered deadly Caribbean strike ‘in self-defense’ with Hegseth’s sign-off, White House says",https://www.foxnews.com/politics/spec-ops-chief-ordered-deadly-caribbean-strike-in-self-defense-hegseths-sign-off-white-house-says,www.foxnews.com,2025-12-02,en,,REC1,post
"Hegseth erupts over WaPo ‘fake stories’ smear, vows to stop ‘poisoning of the American people’",https://www.foxnews.com/politics/hegseth-erupts-over-wapo-fake-stories-smear-vows-stop-poisoning-american-people,www.foxnews.com,2025-12-02,en,,REC1,post
"Hegseth erupts over WaPo ‘fake stories’, vows to stop ‘poisoning of the American people’",https://www.foxnews.com/politics/hegseth-erupts-over-wapo-fake-stories-vows-stop-poisoning-american-people,www.foxnews.com,2025-12-02,en,,REC1,post
"Commander of September attack believed survivors were continuing drug run, report says",https://www.foxnews.com/politics/commander-september-attack-believed-survivors-were-continuing-drug-run-report-says,www.foxnews.com,2025-12-04,en,,REC1,post
"Sen Kennedy blasts 'hysterical' colleagues, says cartel strike critics 'exceeded the limits of their meds'",https://www.foxnews.com/media/sen-kennedy-blasts-hysterical-colleagues-says-cartel-strike-critics-exceeded-limits-meds,www.foxnews.com,2025-12-04,en,,REC1,post
Johnson points to Obama-era drone precedent as Congress probes deadly Caribbean strike,https://www.foxnews.com/politics/johnson-points-obama-era-drone-precedent-congress-probes-deadly-caribbean-strike,www.foxnews.com,2025-12-02,en,,REC1,post
Hegseth backs special ops chief's 'combat decisions' in deadly Caribbean strike ahead of classified briefing,https://www.foxnews.com/politics/hegseth-backs-special-ops-chiefs-combat-decisions-deadly-caribbean-strike-ahead-classified-briefing,www.foxnews.com,2025-12-02,en,,REC1,post
MORNING GLORY: Trump has the authority to strike the narco-states poisoning the US,https://www.foxnews.com/opinion/morning-glory-trump-has-authority-strike-narco-states-poisoning-us,www.foxnews.com,2025-12-02,en,,REC1,post
GOP fractures over Hegseth's 'double-tap' Caribbean strike as Congress probes legality,https://www.foxnews.com/politics/gop-fractures-over-hegseths-double-tap-caribbean-strike-congress-probes-legality,www.foxnews.com,2025-12-02,en,,REC1,post
'Franklin the Turtle' publisher condemns Hegseth's 'unauthorized use' of character in narco-terror meme,https://www.foxnews.com/media/franklin-turtle-publisher-condemns-hegseths-unauthorized-use-character-narco-terror-meme,www.foxnews.com,2025-12-02,en,,REC1,post
House Republicans back Trump's Venezuela moves for now as escalation uncertainty looms,https://www.foxnews.com/politics/house-republicans-back-trumps-venezuela-moves-now-escalation-uncertainty-looms,www.foxnews.com,2025-12-03,en,,REC1,post
"Gaza militia leader forms rival force against Hamas, warns terrorists are regrouping amid ceasefire",https://www.foxnews.com/world/gaza-militia-leader-forms-rival-force-against-hamas-warns-terrorists-regrouping-amid-ceasefire,www.foxnews.com,2025-12-02,en,,REC1,post
"Model, DJ linked to violent Tren de Aragua gang leader sanctioned by Trump administration",https://www.foxnews.com/politics/model-dj-linked-violent-tren-de-aragua-gang-leader-sanctioned-trump-administration,www.foxnews.com,2025-12-04,en,,REC1,post
"Fox News Politics Newsletter: Who is Brian Cole, the DC pipe bomb suspect?",https://www.foxnews.com/politics/fox-news-politics-newsletter-dhdjuduc,www.foxnews.com,2025-12-04,en,,REC1,post
GOP says Trump facing tougher scrutiny for Caribbean strikes than Obama did for drone program,https://www.foxnews.com/politics/gop-says-trump-facing-tougher-scrutiny-caribbean-strikes-than-obama-did-drone-program,www.foxnews.com,2025-12-03,en,,REC1,post
Colombian family files first known formal complaint over deadly US strike in Caribbean | CNN,https://www.cnn.com/2025/12/02/americas/colombia-caribbean-boat-strike-iachr-complaint-intl-latam,www.cnn.com,2025-12-03,en,,REC1,post
Noem calls for 'full travel ban' on countries 'flooding' US and more top headlines,https://www.foxnews.com/us/noem-calls-full-travel-ban-countries-flooding-us-more-top-headlines,www.foxnews.com,2025-12-02,en,,REC1,post
Putin rejects key parts of US peace plan as Kremlin official warns Europe faces new war risk: report,https://www.foxnews.com/world/putin-rejects-key-parts-us-peace-plan-kremlin-official-warns-europe-faces-new-war-risk-report,www.foxnews.com,2025-12-04,en,,REC1,post
Massive 14-foot shark dies after being stranded on Massachusetts beach during migration,https://www.foxnews.com/us/massive-14-foot-shark-dies-stranded-massachusetts-beach-migration,www.foxnews.com,2025-12-04,en,,REC1,post
Rep. Nancy Mace slaps down early retirement rumor: 'BIG FAT NO from me',https://www.foxnews.com/politics/rep-nancy-mace-slaps-down-early-retirement-rumor-big-fat-no-from-me,www.foxnews.com,2025-12-04,en,,REC1,post
"FBI probes possible ties of National Guard shooter to shadowy sect, a ‘catalyst’ for jihad",https://www.foxnews.com/politics/fbi-probes-possible-ties-national-guard-shooter-shadowy-sect-catalyst-jihad,www.foxnews.com,2025-12-03,en,,REC1,post
